intensity_in_img,label,movement_order,x,y
1,A1,12,39.2,6.3
2,A2,11,39.2318,10.3182
3,A3,10,39.2636,14.3364
4,A4,9,39.2955,18.3545
5,A5,8,39.3273,22.3727
6,A6,7,39.3591,26.3909
7,A7,6,39.3909,30.4091
8,A8,5,39.4227,34.4273
9,A9,4,39.4545,38.4455
10,A10,3,39.4864,42.4636
11,A11,2,39.5182,46.4818
12,A12,1,39.55,50.5
13,B1,13,35.4143,6.3143
14,B2,14,35.4442,10.3351
15,B3,15,35.474,14.3558
16,B4,16,35.5039,18.3766
17,B5,17,35.5338,22.3974
18,B6,18,35.5636,26.4182
19,B7,19,35.5935,30.439
20,B8,20,35.6234,34.4597
21,B9,21,35.6532,38.4805
22,B10,22,35.6831,42.5013
23,B11,23,35.713,46.5221
24,B12,24,35.7429,50.5429
25,C1,36,31.6286,6.3286
26,C2,35,31.6565,10.3519
27,C3,34,31.6844,14.3753
28,C4,33,31.7123,18.3987
29,C5,32,31.7403,22.4221
30,C6,31,31.7682,26.4455
31,C7,30,31.7961,30.4688
32,C8,29,31.824,34.4922
33,C9,28,31.8519,38.5156
34,C10,27,31.8799,42.539
35,C11,26,31.9078,46.5623
36,C12,25,31.9357,50.5857
37,D1,37,27.8429,6.3429
38,D2,38,27.8688,10.3688
39,D3,39,27.8948,14.3948
40,D4,40,27.9208,18.4208
41,D5,41,27.9468,22.4468
42,D6,42,27.9727,26.4727
43,D7,43,27.9987,30.4987
44,D8,44,28.0247,34.5247
45,D9,45,28.0506,38.5506
46,D10,46,28.0766,42.5766
47,D11,47,28.1026,46.6026
48,D12,48,28.1286,50.6286
49,E1,60,24.0571,6.3571
50,E2,59,24.0812,10.3857
51,E3,58,24.1052,14.4143
52,E4,57,24.1292,18.4429
53,E5,56,24.1532,22.4714
54,E6,55,24.1773,26.5
55,E7,54,24.2013,30.5286
56,E8,53,24.2253,34.5571
57,E9,52,24.2494,38.5857
58,E10,51,24.2734,42.6143
59,E11,50,24.2974,46.6429
60,E12,49,24.3214,50.6714
61,F1,61,20.2714,6.3714
62,F2,62,20.2935,10.4026
63,F3,63,20.3156,14.4338
64,F4,64,20.3377,18.4649
65,F5,65,20.3597,22.4961
66,F6,66,20.3818,26.5273
67,F7,67,20.4039,30.5584
68,F8,68,20.426,34.5896
69,F9,69,20.4481,38.6208
70,F10,70,20.4701,42.6519
71,F11,71,20.4922,46.6831
72,F12,72,20.5143,50.7143
73,G1,84,16.4857,6.3857
74,G2,83,16.5058,10.4195
75,G3,82,16.526,14.4532
76,G4,81,16.5461,18.487
77,G5,80,16.5662,22.5208
78,G6,79,16.5864,26.5545
79,G7,78,16.6065,30.5883
80,G8,77,16.6266,34.6221
81,G9,76,16.6468,38.6558
82,G10,75,16.6669,42.6896
83,G11,74,16.687,46.7234
84,G12,73,16.7071,50.7571
85,H1,85,12.7,6.4
86,H2,86,12.7182,10.4364
87,H3,87,12.7364,14.4727
88,H4,88,12.7545,18.5091
89,H5,89,12.7727,22.5455
90,H6,90,12.7909,26.5818
91,H7,91,12.8091,30.6182
92,H8,92,12.8273,34.6545
93,H9,93,12.8455,38.6909
94,H10,94,12.8636,42.7273
95,H11,95,12.8818,46.7636
96,H12,96,12.9,50.8
